
­ƒöì Auditing 139 endpoints on https://kelionai.app
  Ô£à risk-calculator ÔÇö HTTP 200 (717ms)
  Ô£à route-optimizer ÔÇö HTTP 200 (613ms)
  Ô£à safe-mode ÔÇö HTTP 200 (663ms)
  Ô£à screen-time-limiter ÔÇö HTTP 200 (565ms)
  Ô£à search ÔÇö HTTP 200 (608ms)
  Ô£à seo-analyzer ÔÇö HTTP 200 (625ms)
  Ô£à setup-admin ÔÇö HTTP 200 (719ms)
  Ô£à setup-permanent-user ÔÇö HTTP 200 (711ms)
  Ô£à smart-brain ÔÇö HTTP 200 (613ms)
  Ô£à social-media-stats ÔÇö HTTP 200 (615ms)
  Ô£à speak ÔÇö HTTP 200 (611ms)
  Ô£à stable-diffusion ÔÇö HTTP 200 (719ms)
  Ô£à story-generator ÔÇö HTTP 200 (615ms)
  Ô£à stripe-checkout ÔÇö HTTP 200 (715ms)
  Ô£à stripe-webhook ÔÇö HTTP 200 (665ms)
  Ô£à template-generator ÔÇö HTTP 200 (657ms)
  Ô£à tiktok-webhook ÔÇö HTTP 200 (724ms)
  Ô£à trace-collector ÔÇö HTTP 200 (715ms)
  Ô£à trading-alerts ÔÇö HTTP 200 (716ms)
  Ô£à trading-bot-engine ÔÇö HTTP 200 (614ms)
  Ô£à trading-bot-scheduler ÔÇö HTTP 200 (616ms)
  Ô£à trading-memory ÔÇö HTTP 200 (610ms)
  Ô£à transcribe ÔÇö HTTP 200 (619ms)
  Ô£à translate ÔÇö HTTP 200 (718ms)
  Ô£à usage-analytics ÔÇö HTTP 200 (636ms)
  Ô£à usage-limiter ÔÇö HTTP 200 (691ms)
  Ô£à user-data ÔÇö HTTP 200 (923ms)
  Ô£à vector-store ÔÇö HTTP 200 (716ms)
  Ô£à video-editor ÔÇö HTTP 200 (612ms)
  Ô£à vision ÔÇö HTTP 200 (717ms)
  Ô£à weather ÔÇö HTTP 200 (657ms)
  Ô£à web-search ÔÇö HTTP 200 (674ms)
  Ô£à whisper ÔÇö HTTP 200 (612ms)
  Ô£à wolfram ÔÇö HTTP 200 (718ms)
  Ô£à workout-planner ÔÇö HTTP 200 (819ms)

ÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉ
  Ô£à OK: 138 | ÔÜá´©Å  Warn: 0 | ÔØî Fail: 1
  ­ƒôè Total: 139 endpoints
  ÔÅ▒´©Å  Time: 95.7s
  ­ƒîÉ Base: https://kelionai.app
ÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉ

­ƒôä Report saved: audit_report.json
